leaf_size,metric,n_neighbors,weights,f1_macro_score,loss
10,<function sqeuclidean at 0x0000022CDC95A200>,4,distance,0.8168163166842707,0.18318368331572932
10,<function sqeuclidean at 0x0000022CDC95A200>,5,uniform,0.7880224706437126,0.21197752935628744
10,<function sqeuclidean at 0x0000022CDC95A200>,5,distance,0.811164874147642,0.18883512585235795
10,<function sqeuclidean at 0x0000022CDC95A200>,6,uniform,0.7797826110076082,0.22021738899239185
10,<function sqeuclidean at 0x0000022CDC95A200>,6,distance,0.8187751243360409,0.18122487566395906
10,<function sqeuclidean at 0x0000022CDC95A200>,7,uniform,0.7784070978230536,0.22159290217694638
10,<function sqeuclidean at 0x0000022CDC95A200>,7,distance,0.8017870982968632,0.19821290170313677
10,<function sqeuclidean at 0x0000022CDC95A200>,10,uniform,0.762306441260014,0.237693558739986
10,<function sqeuclidean at 0x0000022CDC95A200>,10,distance,0.790303033724392,0.20969696627560797
10,<function chi_square_distance at 0x0000022CE0295240>,3,uniform,0.7022129844056861,0.29778701559431386
10,<function chi_square_distance at 0x0000022CE0295240>,3,distance,0.7132516403733239,0.2867483596266761
10,<function chi_square_distance at 0x0000022CE0295240>,4,uniform,0.6991492486593657,0.3008507513406343
10,<function chi_square_distance at 0x0000022CE0295240>,4,distance,0.7234810477604462,0.2765189522395538
10,<function chi_square_distance at 0x0000022CE0295240>,5,uniform,0.6974407014047547,0.30255929859524533
10,<function chi_square_distance at 0x0000022CE0295240>,5,distance,0.723773174611603,0.27622682538839705
10,<function chi_square_distance at 0x0000022CE0295240>,6,uniform,0.6854839072572242,0.3145160927427758
10,<function chi_square_distance at 0x0000022CE0295240>,6,distance,0.7193640577293817,0.2806359422706183
10,<function chi_square_distance at 0x0000022CE0295240>,7,uniform,0.6984907262568248,0.30150927374317515
10,<function chi_square_distance at 0x0000022CE0295240>,7,distance,0.7301008324863826,0.2698991675136174
10,<function chi_square_distance at 0x0000022CE0295240>,10,uniform,0.6864116836462423,0.3135883163537577
10,<function chi_square_distance at 0x0000022CE0295240>,10,distance,0.7178883132822816,0.28211168671771836
